Source	Target	Type	Label	Weight
51	7	Directed	Owns	0.600000
51	10	Directed	Owns	0.230000
51	16	Directed	Owns	0.300000
51	17	Directed	Owns	0.140000
51	19	Directed	Owns	0.330000
51	20	Directed	Owns	0.750000
51	22	Directed	Owns	0.230000
51	23	Directed	Owns	1.200000
51	24	Directed	Owns	2.780000
52	1	Directed	Owns	0.230000
52	5	Directed	Owns	3.160000
52	7	Directed	Owns	0.460000
52	17	Directed	Owns	0.280000
52	20	Directed	Owns	0.480000
52	23	Directed	Owns	0.400000
52	24	Directed	Owns	0.450000
53	1	Directed	Owns	0.230000
53	5	Directed	Owns	0.320000
53	7	Directed	Owns	0.460000
53	10	Directed	Owns	0.320000
53	20	Directed	Owns	0.470000
53	23	Directed	Owns	0.460000
53	24	Directed	Owns	0.460000
54	1	Directed	Owns	0.230000
54	16	Directed	Owns	0.250000
54	20	Directed	Owns	0.150000
54	23	Directed	Owns	0.220000
55	1	Directed	Owns	0.210000
55	5	Directed	Owns	1.650000
55	7	Directed	Owns	0.670000
55	10	Directed	Owns	0.180000
55	17	Directed	Owns	0.130000
55	20	Directed	Owns	0.770000
55	22	Directed	Owns	0.290000
55	23	Directed	Owns	0.880000
55	24	Directed	Owns	9.840000
56	1	Directed	Owns	0.200000
56	5	Directed	Owns	0.240000
56	7	Directed	Owns	0.280000
56	10	Directed	Owns	0.380000
56	16	Directed	Owns	0.110000
56	19	Directed	Owns	4.250000
56	20	Directed	Owns	0.380000
56	22	Directed	Owns	0.190000
56	23	Directed	Owns	0.620000
56	24	Directed	Owns	0.440000
57	1	Directed	Owns	0.200000
57	5	Directed	Owns	0.160000
57	7	Directed	Owns	0.280000
57	10	Directed	Owns	0.230000
57	16	Directed	Owns	0.170000
57	17	Directed	Owns	0.150000
57	19	Directed	Owns	0.110000
57	20	Directed	Owns	0.740000
57	23	Directed	Owns	0.670000
57	24	Directed	Owns	0.740000
58	1	Directed	Owns	0.180000
58	7	Directed	Owns	0.380000
58	19	Directed	Owns	0.140000
58	20	Directed	Owns	0.460000
58	23	Directed	Owns	0.270000
58	24	Directed	Owns	0.380000
59	1	Directed	Owns	0.180000
59	5	Directed	Owns	1.420000
59	7	Directed	Owns	0.230000
59	10	Directed	Owns	0.360000
59	16	Directed	Owns	0.110000
59	19	Directed	Owns	0.180000
59	20	Directed	Owns	0.350000
59	23	Directed	Owns	0.320000
59	24	Directed	Owns	0.440000
60	1	Directed	Owns	0.180000
60	4	Directed	Owns	0.330000
